rank,symbol,company_name,turnover,ltp
1,SHEL,Singati Hydro Energy Limited,247429293.20,302.90
2,SBD87,8.5% Sanima Debenture 2087,230005910.00,1150.00
3,NRN,NRN Infrastructure and Development Limited,227991121.40,1344.00
4,CCBD88,10.50% Century Debenture 2088,189588760.00,1326.00
5,RIDI,Ridi Power Company Limited,161646080.40,326.00
6,AKJCL,Ankhukhola Hydropower Company Limited,137807067.80,337.00
7,CORBL,Corporate Development Bank Limited,137317275.00,1596.50
8,CIZBD90,10% Citizens Bank Debenture 2090,126688876.50,1210.00
9,NICAD85/86,10% NIC Asia Debenture 2085/86,115757310.00,1174.00
10,SBL,Siddhartha Bank Limited,109886105.20,395.00
11,NGPL,Ngadi Group Power Limited,90955021.80,398.00
12,RSML,Reliance Spinning Mills Limited,88417221.60,2970.00
13,UMHL,United Modi Hydropower Limited,70425115.30,572.00
14,SOHL,Solu Hydropower Limited,55198370.60,509.00
15,NICAD2091,7% NIC Asia Debenture 2091,53453600.00,1090.00
