rank,symbol,company_name,transactions,ltp
1,SGHL,Sanigad Hydro Limited,2013,481.00
2,CORBL,Corporate Development Bank Limited,1363,1530.00
3,AKJCL,Ankhukhola Hydropower Company Limited,1336,363.00
4,KAHL,Kalanga Hydro Limited,1321,497.00
5,NHPC,National Hydro Power Company Limited,1213,269.00
6,PCIL,Palpa Cements Industries Limited,1118,652.00
7,SOPL,Sopan Pharmaceuticals Limited,1091,823.10
8,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,1088,516.00
9,CITY,City Hotel Limited,1077,382.00
10,RIDI,Ridi Power Company Limited,1027,349.50
11,KBL,Kumari Bank Limited,946,220.00
12,API,Api Power Company Limited,822,339.90
13,SOHL,Solu Hydropower Limited,800,544.00
14,RSML,Reliance Spinning Mills Limited,761,3200.00
15,HRL,Himalayan Reinsurance Limited,756,581.90
